Q	QT	npt	chi2	N	alpha	c	dN	dalpha	dc
12.5	1.9	10	0.41	1.08E+00	2.24E+00	1.90E-01	1.3E-01	1.0E+00	1.5E-01
12.5	2.1	11	0.41	1.14E+00	1.84E+00	2.67E-01	8.1E-02	4.5E-01	9.4E-02
12.5	2.3	12	0.36	1.15E+00	1.81E+00	2.75E-01	5.3E-02	3.0E-01	5.9E-02
12.5	2.5	13	0.35	1.17E+00	1.72E+00	2.94E-01	4.1E-02	2.1E-01	4.2E-02
12.5	2.7	14	0.35	1.18E+00	1.65E+00	3.11E-01	3.5E-02	1.6E-01	3.4E-02
12.5	2.9	15	0.32	1.18E+00	1.66E+00	3.09E-01	3.0E-02	1.3E-01	2.6E-02
12.5	3.1	16	0.29	1.18E+00	1.67E+00	3.08E-01	2.8E-02	1.1E-01	2.1E-02
12.5	3.3	17	0.29	1.18E+00	1.64E+00	3.12E-01	2.8E-02	9.8E-02	1.9E-02
12.5	3.5	18	0.28	1.18E+00	1.65E+00	3.10E-01	2.7E-02	9.6E-02	1.8E-02
15.8	0.8	4	0.72	1.65E+00	3.27E+04	5.68E+05	8.4E-02	1.4E+00	1.4E+00
15.8	1.0	5	0.37	6.80E-01	2.66E+01	1.29E-12	3.1E-02	1.1E-02	2.4E-13
15.8	1.2	6	0.77	2.00E+00	7.44E-01	9.05E-01	1.0E+00	9.8E-02	6.0E-02
15.8	1.4	7	0.59	2.00E+00	7.52E-01	9.02E-01	1.9E+00	8.1E-02	4.2E-02
15.8	1.5	8	0.48	1.95E+00	7.63E-01	8.76E-01	1.9E+00	4.2E-01	5.9E-01
15.8	1.7	9	0.62	1.23E+00	1.42E+00	3.56E-01	3.2E-01	8.7E-01	3.1E-01
15.8	1.9	10	0.60	1.03E+00	2.44E+00	1.40E-01	1.2E-01	1.3E+00	1.4E-01
15.8	2.1	11	0.70	1.14E+00	1.67E+00	2.67E-01	8.7E-02	4.3E-01	9.5E-02
15.8	2.3	12	0.64	1.17E+00	1.55E+00	2.99E-01	6.7E-02	2.9E-01	7.1E-02
15.8	2.5	13	0.69	1.21E+00	1.39E+00	3.45E-01	6.5E-02	2.3E-01	6.8E-02
15.8	2.7	14	0.67	1.18E+00	1.50E+00	3.15E-01	4.7E-02	1.9E-01	4.6E-02
15.8	2.9	15	0.64	1.17E+00	1.54E+00	3.03E-01	4.1E-02	1.6E-01	3.6E-02
