Q	QT	npt	chi2	N	alpha	c	dN	dalpha	dc
6.5	3.7	15	0.77	1.38E+00	1.62E+00	2.64E-01	2.6E-02	7.7E-02	1.5E-02
6.5	3.9	16	2.42	1.33E+00	1.99E+00	2.23E-01	2.4E-02	1.7E-02	9.9E-03
7.5	0.9	4	1.64	2.00E+00	8.80E-01	6.53E-01	1.5E+00	9.9E-02	3.8E-02
7.5	1.2	5	0.87	2.00E+00	9.04E-01	6.44E-01	1.4E+00	7.5E-02	2.9E-02
7.5	1.4	6	0.65	2.00E+00	8.83E-01	6.51E-01	2.0E+00	5.5E-02	2.6E-02
7.5	1.7	7	0.67	1.54E+00	1.31E+00	3.61E-01	2.2E-01	4.1E-01	1.7E-01
7.5	1.9	8	0.63	1.43E+00	1.58E+00	2.67E-01	8.5E-02	3.0E-01	7.4E-02
7.5	2.2	9	0.52	1.43E+00	1.58E+00	2.67E-01	2.8E-02	3.0E-03	1.3E-02
7.5	2.4	10	0.46	1.42E+00	1.62E+00	2.57E-01	3.6E-02	1.4E-01	2.8E-02
7.5	2.7	11	0.40	1.42E+00	1.61E+00	2.60E-01	3.2E-02	1.2E-01	2.2E-02
7.5	2.9	12	0.41	1.42E+00	1.58E+00	2.65E-01	3.1E-02	1.1E-01	2.1E-02
7.5	3.2	13	0.65	1.40E+00	1.70E+00	2.43E-01	2.7E-02	8.1E-02	1.4E-02
7.5	3.4	14	0.63	1.40E+00	1.72E+00	2.40E-01	2.7E-02	7.4E-02	1.2E-02
8.5	0.9	4	0.93	2.00E+00	9.12E-01	6.49E-01	1.6E+00	1.1E-01	4.1E-02
8.5	1.2	5	0.63	1.79E+00	9.88E-01	5.45E-01	1.7E+00	7.1E-01	5.8E-01
8.5	1.4	6	0.42	1.73E+00	1.03E+00	5.09E-01	4.6E-01	4.6E-01	3.2E-01
8.5	1.7	7	0.32	1.69E+00	1.07E+00	4.84E-01	2.8E-01	3.1E-01	2.0E-01
8.5	1.9	8	0.35	1.56E+00	1.24E+00	3.86E-01	1.4E-01	2.6E-01	1.1E-01
8.5	2.2	9	0.44	1.46E+00	1.43E+00	3.12E-01	7.0E-02	2.1E-01	5.9E-02
8.5	2.4	10	0.75	1.38E+00	1.73E+00	2.39E-01	3.8E-02	1.7E-01	2.7E-02
8.5	2.7	11	0.75	1.36E+00	1.84E+00	2.21E-01	3.0E-02	1.2E-01	1.6E-02
8.5	2.9	12	0.66	1.36E+00	1.83E+00	2.22E-01	2.9E-02	9.8E-02	1.3E-02
8.5	3.2	13	0.61	1.36E+00	1.85E+00	2.21E-01	2.8E-02	8.7E-02	1.2E-02
8.5	3.4	14	0.60	1.36E+00	1.84E+00	2.22E-01	2.8E-02	8.6E-02	1.2E-02
11.5	0.9	4	2.99	2.00E+00	6.29E-01	8.78E-01	1.4E+00	9.6E-02	6.3E-02
11.5	1.2	5	2.76	2.00E+00	7.54E-01	8.35E-01	1.3E+00	1.7E-01	5.4E-02
11.5	1.4	6	2.22	2.00E+00	6.65E-01	8.57E-01	1.7E+00	7.6E-02	5.2E-02
11.5	1.7	7	1.80	1.57E+00	8.56E-01	5.97E-01	5.7E-01	5.3E-01	4.4E-01
11.5	1.9	8	1.44	1.60E+00	8.33E-01	6.19E-01	4.6E-01	4.0E-01	3.4E-01
11.5	2.2	9	1.29	1.30E+00	1.22E+00	3.90E-01	2.2E-01	5.5E-01	2.0E-01
11.5	2.4	10	1.34	1.13E+00	1.85E+00	2.23E-01	6.5E-02	3.8E-01	5.4E-02
11.5	2.7	11	1.18	1.14E+00	1.80E+00	2.30E-01	5.6E-02	2.9E-01	4.2E-02
12.5	0.9	4	1.45	2.00E+00	6.19E+01	6.49E+06	2.0E+00	5.4E+01	8.2E+07
12.5	1.2	5	0.79	2.00E+00	2.95E+01	1.63E+03	2.0E+00	1.2E+02	6.8E+04
12.5	1.4	6	1.91	8.17E-01	3.70E+01	1.00E-12	5.8E-02	6.2E+00	2.2E-09
12.5	1.7	7	1.61	8.42E-01	3.13E+01	3.87E-10	5.5E-02	3.2E+01	1.2E-07
12.5	1.9	8	1.29	8.64E-01	7.87E+00	2.44E-03	7.3E-02	8.7E+00	3.4E-02
12.5	2.2	9	1.34	9.66E-01	2.63E+00	1.07E-01	9.4E-02	1.1E+00	9.2E-02
12.5	2.4	10	1.35	1.02E+00	2.06E+00	1.73E-01	8.0E-02	5.2E-01	7.6E-02
12.5	2.7	11	1.34	1.03E+00	1.91E+00	1.98E-01	8.0E-02	4.4E-01	7.8E-02
13.5	0.9	4	2.09	2.00E+00	1.90E+01	1.15E+05	1.0E+00	5.8E+01	5.9E+06
13.5	1.2	5	1.06	2.00E+00	2.14E+01	4.36E+05	1.8E+00	4.0E+01	1.8E+07
13.5	1.4	6	0.72	1.95E+00	6.36E+00	2.20E+01	1.7E+00	4.8E+01	5.3E+02
13.5	1.7	7	1.21	5.84E-01	3.82E+01	1.00E-12	6.6E-02	8.5E+00	4.6E-09
14.5	1.2	4	0.44	7.36E-01	2.94E+01	1.02E-12	1.3E-01	3.0E+01	1.4E-08
14.5	1.4	5	0.51	1.02E+00	1.76E+00	2.00E-01	1.5E+00	3.3E+00	1.4E+00
14.5	1.7	6	0.38	2.00E+00	7.15E-01	9.35E-01	1.0E+00	2.8E-01	1.8E-01
