# E772 800GeV sqrt(s)=38.77 xF:[0.1,0.3]
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
7.5000e+00	2.8750e+00	6.1785e-13	1.9897e-13
7.5000e+00	3.1250e+00	1.7677e-13	6.6392e-14
7.5000e+00	3.3750e+00	1.2001e-13	7.8749e-14
8.5000e+00	1.2500e-01	1.3952e-11	1.3897e-12
8.5000e+00	3.7500e-01	1.1809e-11	6.7821e-13
8.5000e+00	6.2500e-01	8.3714e-12	4.2319e-13
8.5000e+00	8.7500e-01	7.1517e-12	3.5482e-13
8.5000e+00	1.1250e+00	4.4167e-12	2.4209e-13
8.5000e+00	1.3750e+00	3.1786e-12	1.9404e-13
8.5000e+00	1.6250e+00	2.2176e-12	1.6022e-13
8.5000e+00	1.8750e+00	1.3731e-12	1.2954e-13
8.5000e+00	2.1250e+00	8.0203e-13	1.0256e-13
8.5000e+00	2.3750e+00	3.6775e-13	6.3386e-14
8.5000e+00	2.6250e+00	1.8850e-13	4.6015e-14
8.5000e+00	2.8750e+00	1.2936e-13	4.6015e-14
8.5000e+00	3.1250e+00	5.9690e-14	4.5830e-14
8.5000e+00	3.3750e+00	1.2308e-13	1.1033e-13
1.1500e+01	1.2500e-01	1.1856e-12	4.0158e-13
1.1500e+01	3.7500e-01	1.2512e-12	2.3084e-13
1.1500e+01	6.2500e-01	5.1631e-13	1.0504e-13
1.1500e+01	8.7500e-01	5.0948e-13	8.7965e-14
1.1500e+01	1.1250e+00	4.9036e-13	7.3896e-14
1.1500e+01	1.3750e+00	2.1172e-13	4.6714e-14
1.1500e+01	1.6250e+00	1.5162e-13	3.4148e-14
1.1500e+01	1.8750e+00	1.2908e-13	3.3601e-14
1.1500e+01	2.1250e+00	6.9115e-14	2.1581e-14
1.1500e+01	2.3750e+00	2.3494e-14	1.1214e-14
1.1500e+01	2.6250e+00	1.9806e-14	1.1965e-14
1.2500e+01	1.2500e-01	3.6694e-13	2.7018e-13
1.2500e+01	3.7500e-01	2.3122e-13	8.5828e-14
1.2500e+01	6.2500e-01	3.6568e-13	9.7641e-14
1.2500e+01	8.7500e-01	3.4181e-13	7.5775e-14
1.2500e+01	1.1250e+00	2.6264e-13	5.7303e-14
1.2500e+01	1.3750e+00	9.1232e-14	2.6138e-14
1.2500e+01	1.6250e+00	8.7965e-14	3.2044e-14
1.2500e+01	1.8750e+00	2.3499e-14	1.1058e-14
1.2500e+01	2.1250e+00	2.6264e-14	1.8473e-14
1.2500e+01	2.3750e+00	2.2745e-14	1.5959e-14
1.2500e+01	2.6250e+00	3.2547e-14	2.5761e-14
1.3500e+01	1.2500e-01	2.6529e-13	2.0711e-13
1.3500e+01	3.7500e-01	7.7842e-14	4.2819e-14
1.3500e+01	6.2500e-01	5.2244e-14	2.7343e-14
1.3500e+01	8.7500e-01	1.1531e-13	5.0498e-14
1.3500e+01	1.1250e+00	7.6329e-14	3.8979e-14
1.3500e+01	1.3750e+00	6.2832e-14	2.6529e-14
1.3500e+01	1.6250e+00	1.0833e-14	7.2489e-15
1.4500e+01	1.2500e-01	1.6575e-13	2.2424e-13
1.4500e+01	3.7500e-01	8.5906e-14	5.5140e-14
1.4500e+01	8.7500e-01	8.1898e-14	4.2032e-14
1.4500e+01	1.1250e+00	3.1633e-14	1.8633e-14
1.4500e+01	1.3750e+00	7.5615e-14	7.6915e-14
1.4500e+01	1.6250e+00	2.9574e-14	1.9825e-14
