# E288 400GeV sqrt(s)=27.42 y~0.03
# m(GeV)	 qT(GeV)	 E*dsig/dydqT^2dQ^2(fm^2/GeV^4)	 Estat
9.5000e+00	1.0000e-01	1.9346e-12	1.3228e-13
9.5000e+00	3.0000e-01	1.9676e-12	8.2673e-14
9.5000e+00	5.0000e-01	1.8023e-12	6.6139e-14
9.5000e+00	7.0000e-01	1.5543e-12	4.9604e-14
9.5000e+00	9.0000e-01	1.2897e-12	4.9604e-14
9.5000e+00	1.1000e+00	8.2673e-13	3.3069e-14
9.5000e+00	1.3000e+00	7.2753e-13	3.3069e-14
9.5000e+00	1.5000e+00	5.4565e-13	3.3069e-14
9.5000e+00	1.7000e+00	3.8030e-13	3.3069e-14
9.5000e+00	1.9000e+00	2.4967e-13	1.9842e-14
9.5000e+00	2.1000e+00	2.0172e-13	1.8188e-14
9.5000e+00	2.3000e+00	1.2897e-13	1.4881e-14
9.5000e+00	2.5000e+00	9.2594e-14	1.1574e-14
9.5000e+00	2.7000e+00	7.2753e-14	9.9208e-15
9.5000e+00	2.9000e+00	4.7951e-14	8.2673e-15
9.5000e+00	3.1000e+00	2.5629e-14	5.9525e-15
9.5000e+00	3.3000e+00	2.2818e-14	5.9525e-15
9.5000e+00	3.5000e+00	1.7361e-14	5.2911e-15
9.5000e+00	3.7000e+00	1.1740e-14	4.1337e-15
9.5000e+00	3.9000e+00	7.2753e-15	3.3069e-15
9.5000e+00	4.1000e+00	8.4327e-15	3.4723e-15
9.5000e+00	4.3000e+00	3.4723e-15	2.4802e-15
9.5000e+00	4.5000e+00	6.2832e-15	3.1416e-15
1.0500e+01	1.0000e-01	5.4604e-13	6.2832e-14
1.0500e+01	3.0000e-01	5.6549e-13	3.7400e-14
1.0500e+01	5.0000e-01	4.8321e-13	2.8424e-14
1.0500e+01	7.0000e-01	3.8447e-13	2.3936e-14
1.0500e+01	9.0000e-01	3.4707e-13	2.0944e-14
1.0500e+01	1.1000e+00	2.9770e-13	1.9448e-14
1.0500e+01	1.3000e+00	1.9149e-13	1.4960e-14
1.0500e+01	1.5000e+00	1.2267e-13	1.1968e-14
1.0500e+01	1.7000e+00	8.9760e-14	8.9760e-15
1.0500e+01	1.9000e+00	7.1808e-14	8.9760e-15
1.0500e+01	2.1000e+00	4.7872e-14	7.4800e-15
1.0500e+01	2.3000e+00	3.7400e-14	5.9840e-15
1.0500e+01	2.5000e+00	2.0944e-14	4.4880e-15
1.0500e+01	2.7000e+00	1.4960e-14	4.4880e-15
1.0500e+01	2.9000e+00	1.4960e-14	4.4880e-15
1.0500e+01	3.1000e+00	4.1888e-15	2.0944e-15
1.0500e+01	3.3000e+00	8.6768e-15	3.2912e-15
1.0500e+01	3.5000e+00	5.2360e-15	2.3936e-15
1.0500e+01	3.7000e+00	8.9760e-16	8.9760e-16
1.0500e+01	4.1000e+00	1.1968e-15	1.1968e-15
1.0500e+01	4.3000e+00	2.3936e-15	2.3936e-15
1.0500e+01	4.5000e+00	1.0472e-15	1.0472e-15
1.1500e+01	1.0000e-01	1.3563e-13	2.9230e-14
1.1500e+01	3.0000e-01	9.5477e-14	1.3249e-14
1.1500e+01	5.0000e-01	1.0285e-13	1.1747e-14
1.1500e+01	7.0000e-01	6.9525e-14	8.1955e-15
1.1500e+01	9.0000e-01	5.1495e-14	6.4198e-15
1.1500e+01	1.1000e+00	4.5621e-14	5.8734e-15
1.1500e+01	1.3000e+00	3.9475e-14	5.4636e-15
1.1500e+01	1.5000e+00	3.1553e-14	5.0539e-15
1.1500e+01	1.7000e+00	1.6391e-14	3.4148e-15
1.1500e+01	1.9000e+00	1.2430e-14	3.0050e-15
1.1500e+01	2.1000e+00	7.1027e-15	2.1855e-15
1.1500e+01	2.3000e+00	4.3709e-15	1.7757e-15
1.1500e+01	2.5000e+00	4.2343e-15	1.6391e-15
1.1500e+01	2.7000e+00	2.1855e-15	1.3659e-15
1.1500e+01	2.9000e+00	2.8684e-15	1.5025e-15
1.1500e+01	3.1000e+00	6.8295e-16	6.8295e-16
1.1500e+01	3.3000e+00	6.6930e-16	6.6930e-16
1.1500e+01	3.5000e+00	6.2832e-16	6.2832e-16
1.2500e+01	1.0000e-01	2.8274e-14	1.0681e-14
1.2500e+01	3.0000e-01	3.2547e-14	6.7858e-15
1.2500e+01	5.0000e-01	1.9729e-14	4.3982e-15
1.2500e+01	7.0000e-01	2.6012e-14	4.2726e-15
1.2500e+01	9.0000e-01	1.9352e-14	3.3929e-15
1.2500e+01	1.1000e+00	1.6211e-14	3.0159e-15
1.2500e+01	1.3000e+00	1.2189e-14	2.5133e-15
1.2500e+01	1.5000e+00	1.0681e-14	2.2619e-15
1.2500e+01	1.7000e+00	6.5345e-15	1.7593e-15
1.2500e+01	1.9000e+00	2.0106e-15	1.0053e-15
1.2500e+01	2.1000e+00	3.0159e-15	1.2566e-15
1.2500e+01	2.3000e+00	1.6336e-15	1.0053e-15
1.2500e+01	2.7000e+00	1.5080e-15	8.7965e-16
1.2500e+01	2.9000e+00	4.6496e-16	4.6496e-16
1.2500e+01	3.1000e+00	4.9009e-16	4.9009e-16
1.3500e+01	1.0000e-01	1.0123e-14	5.9341e-15
1.3500e+01	3.0000e-01	6.6323e-15	2.6762e-15
1.3500e+01	5.0000e-01	7.2140e-15	2.3271e-15
1.3500e+01	7.0000e-01	9.8902e-15	2.4435e-15
1.3500e+01	9.0000e-01	4.4215e-15	1.5126e-15
1.3500e+01	1.1000e+00	4.0724e-15	1.2799e-15
1.3500e+01	1.3000e+00	3.3743e-15	1.1636e-15
1.3500e+01	1.5000e+00	2.2108e-15	9.3084e-16
1.3500e+01	1.7000e+00	1.0472e-15	5.8178e-16
1.3500e+01	1.9000e+00	1.2799e-15	8.1449e-16
1.3500e+01	2.3000e+00	6.6323e-16	4.7706e-16
1.3500e+01	2.5000e+00	3.4907e-16	3.4907e-16
