hermes data proton and deuteron
z < 1.0
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.51	 0.10	 0.70	 175	 10.64	 1.23E-04	 3.67E-01	 -1.13E+00	 1.7E-01	 2.3E-03	 2.1E-02
1.51	 0.10	 0.75	 185	 10.69	 3.49E-06	 3.77E-01	 -1.09E+00	 8.0E-02	 2.1E-03	 2.1E-02
1.51	 0.10	 0.80	 188	 10.70	 9.37E-07	 3.79E-01	 -1.07E+00	 7.0E-02	 2.1E-03	 2.1E-02
1.51	 0.10	 0.95	 201	 16.60	 3.09E-01	 4.78E-01	 1.22E-01	 2.0E-02	 2.3E-03	 2.6E-02
1.51	 0.10	 1.00	 216	 15.86	 3.07E-01	 4.79E-01	 1.17E-01	 1.9E-02	 1.8E-03	 2.5E-02
1.51	 0.10	 1.05	 219	 15.69	 3.04E-01	 4.80E-01	 1.18E-01	 2.0E-02	 1.8E-03	 2.5E-02
1.51	 0.10	 1.25	 220	 15.64	 3.04E-01	 4.80E-01	 1.18E-01	 2.0E-02	 1.8E-03	 2.5E-02

1.82	 0.10	 0.15	 28	 7.31	 4.60E-01	 4.81E-01	 1.06E-01	 5.2E-02	 8.0E-03	 8.6E-02
1.82	 0.10	 0.20	 29	 9.66	 3.72E-01	 4.98E-01	 1.36E-01	 5.5E-02	 7.8E-03	 6.7E-02
1.82	 0.10	 0.25	 60	 12.95	 2.82E-01	 4.82E-01	 1.32E-01	 4.1E-02	 4.8E-03	 4.2E-02
1.82	 0.10	 0.30	 63	 12.41	 2.66E-01	 4.85E-01	 1.35E-01	 4.2E-02	 4.6E-03	 4.1E-02
1.82	 0.10	 0.35	 92	 10.90	 3.52E-01	 4.60E-01	 1.15E-01	 3.1E-02	 4.1E-03	 4.1E-02
1.82	 0.10	 0.40	 105	 9.94	 3.64E-01	 4.57E-01	 1.12E-01	 3.0E-02	 4.0E-03	 4.1E-02
1.82	 0.10	 0.45	 124	 8.58	 3.69E-01	 4.55E-01	 1.12E-01	 2.9E-02	 3.9E-03	 4.1E-02
1.82	 0.10	 0.55	 156	 7.76	 4.02E-01	 4.47E-01	 1.00E-01	 2.8E-02	 4.1E-03	 4.2E-02
1.82	 0.10	 0.70	 185	 9.94	 4.22E-01	 4.36E-01	 1.09E-01	 2.1E-02	 3.1E-03	 3.3E-02
1.82	 0.10	 0.75	 188	 9.98	 4.47E-01	 4.30E-01	 9.56E-02	 2.1E-02	 3.1E-03	 3.3E-02
1.82	 0.10	 0.90	 189	 10.19	 4.75E-01	 4.22E-01	 8.23E-02	 2.0E-02	 3.0E-03	 3.4E-02
1.82	 0.10	 0.95	 214	 11.11	 4.45E-01	 4.28E-01	 1.06E-01	 1.2E-02	 1.7E-03	 2.5E-02
1.82	 0.10	 1.00	 220	 10.88	 4.42E-01	 4.29E-01	 1.06E-01	 1.2E-02	 1.6E-03	 2.5E-02

2.88	 0.10	 0.15	 27	 6.00	 4.62E-01	 4.86E-01	 8.98E-02	 7.0E-02	 9.6E-03	 1.2E-01
2.88	 0.10	 0.20	 28	 9.96	 3.63E-01	 5.07E-01	 1.35E-01	 7.0E-02	 9.5E-03	 8.3E-02
2.88	 0.10	 0.25	 59	 10.61	 1.93E-01	 5.06E-01	 1.52E-01	 6.9E-02	 5.8E-03	 4.5E-02
2.88	 0.10	 0.30	 68	 9.76	 1.17E-01	 5.10E-01	 1.55E-01	 1.0E-01	 5.4E-03	 4.1E-02
2.88	 0.10	 0.35	 91	 8.47	 2.44E-01	 4.91E-01	 1.47E-01	 4.7E-02	 4.8E-03	 4.2E-02
2.88	 0.10	 0.40	 121	 6.86	 2.46E-01	 4.89E-01	 1.50E-01	 4.5E-02	 4.5E-03	 4.1E-02
2.88	 0.10	 0.45	 123	 6.76	 2.47E-01	 4.89E-01	 1.50E-01	 4.5E-02	 4.5E-03	 4.1E-02
2.88	 0.10	 0.55	 155	 7.30	 2.94E-01	 4.78E-01	 1.36E-01	 3.9E-02	 4.9E-03	 4.1E-02
2.88	 0.10	 0.70	 187	 10.16	 6.31E-01	 3.81E-01	 7.15E-03	 1.7E-02	 2.9E-03	 4.7E-02
2.88	 0.10	 0.90	 191	 10.10	 6.49E-01	 3.75E-01	 -5.81E-03	 1.7E-02	 2.6E-03	 4.8E-02
2.88	 0.10	 0.95	 219	 12.61	 4.88E-01	 4.02E-01	 7.33E-02	 1.0E-02	 1.6E-03	 2.4E-02

5.23	 0.10	 0.15	 24	 5.69	 9.93E-05	 5.43E-01	 1.98E-01	 1.3E-01	 1.0E-02	 5.6E-02
5.23	 0.10	 0.25	 56	 4.99	 1.50E-01	 5.05E-01	 1.20E-01	 1.4E-01	 7.3E-03	 5.9E-02
5.23	 0.10	 0.30	 66	 4.69	 2.62E-01	 4.91E-01	 1.17E-01	 8.0E-02	 7.1E-03	 6.2E-02
5.23	 0.10	 0.35	 88	 4.30	 1.80E-01	 4.95E-01	 1.29E-01	 9.3E-02	 5.9E-03	 5.4E-02
5.23	 0.10	 0.40	 116	 3.82	 1.67E-01	 4.94E-01	 1.33E-01	 9.4E-02	 5.4E-03	 5.3E-02
5.23	 0.10	 0.45	 120	 3.80	 1.63E-01	 4.95E-01	 1.34E-01	 9.5E-02	 5.4E-03	 5.3E-02
5.23	 0.10	 0.55	 152	 4.27	 2.56E-01	 4.86E-01	 1.31E-01	 6.0E-02	 5.5E-03	 5.5E-02
5.23	 0.10	 0.70	 184	 6.34	 5.70E-01	 4.10E-01	 6.15E-02	 2.5E-02	 3.7E-03	 6.1E-02
5.23	 0.10	 0.90	 189	 6.46	 5.97E-01	 4.00E-01	 6.19E-02	 2.3E-02	 3.3E-03	 6.3E-02
5.23	 0.10	 0.95	 214	 7.10	 5.29E-01	 4.08E-01	 8.97E-02	 1.6E-02	 2.4E-03	 4.2E-02
5.23	 0.10	 1.00	 216	 7.05	 5.30E-01	 4.08E-01	 8.88E-02	 1.6E-02	 2.4E-03	 4.2E-02

9.21	 0.10	 0.15	 22	 0.84	 4.52E-01	 4.91E-01	 -1.04E-02	 2.5E-01	 2.1E-02	 3.4E-01
9.21	 0.10	 0.20	 24	 0.89	 4.26E-01	 4.90E-01	 -2.39E-02	 2.5E-01	 2.1E-02	 3.2E-01
9.21	 0.10	 0.25	 54	 1.17	 3.96E-01	 4.66E-01	 2.14E-02	 1.7E-01	 1.4E-02	 2.4E-01
9.21	 0.10	 0.30	 65	 1.12	 4.02E-01	 4.63E-01	 3.09E-02	 1.5E-01	 1.3E-02	 2.3E-01
9.21	 0.10	 0.35	 86	 1.37	 3.72E-01	 4.58E-01	 5.95E-02	 1.4E-01	 1.1E-02	 2.0E-01
9.21	 0.10	 0.40	 108	 1.40	 3.71E-01	 4.59E-01	 8.48E-02	 1.4E-01	 1.1E-02	 2.1E-01
9.21	 0.10	 0.45	 118	 1.41	 3.52E-01	 4.59E-01	 8.29E-02	 1.4E-01	 1.1E-02	 2.0E-01
9.21	 0.10	 0.55	 150	 1.65	 3.77E-01	 4.53E-01	 5.36E-02	 1.2E-01	 1.1E-02	 1.9E-01
9.21	 0.10	 0.70	 182	 2.08	 5.74E-01	 3.99E-01	 -6.27E-02	 6.9E-02	 7.3E-03	 1.7E-01
9.21	 0.10	 0.85	 183	 2.08	 5.77E-01	 3.98E-01	 -6.56E-02	 6.8E-02	 7.2E-03	 1.7E-01
9.21	 0.10	 0.90	 193	 2.23	 5.22E-01	 3.99E-01	 -2.65E-03	 5.7E-02	 6.1E-03	 1.4E-01
9.21	 0.10	 0.95	 211	 2.16	 5.72E-01	 3.95E-01	 3.05E-02	 5.0E-02	 6.1E-03	 1.5E-01

