hermes data proton and deuteron
z < 0.6
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.51	 0.20	 1.00	 140	 7.55	 3.68E-01	 4.09E-01	 -5.53E-01	 2.0E-01	 5.5E-03	 2.5E-01
1.51	 0.20	 1.05	 143	 7.82	 2.03E-01	 4.12E-01	 -6.50E-01	 6.2E-01	 6.8E-03	 3.8E-01
1.51	 0.20	 1.25	 144	 7.80	 1.98E-01	 4.12E-01	 -6.52E-01	 6.7E-01	 7.1E-03	 4.0E-01

1.82	 0.20	 0.25	 24	 0.66	 4.11E-01	 3.62E-01	 -7.30E-01	 3.4E-01	 1.0E-02	 5.2E-01
1.82	 0.20	 0.35	 48	 1.04	 4.94E-01	 3.49E-01	 -6.86E-01	 2.3E-01	 9.1E-03	 4.8E-01
1.82	 0.20	 0.40	 54	 1.31	 4.97E-01	 3.49E-01	 -6.84E-01	 2.3E-01	 9.2E-03	 4.8E-01
1.82	 0.20	 0.45	 72	 1.23	 4.97E-01	 3.50E-01	 -6.46E-01	 2.2E-01	 9.0E-03	 4.6E-01
1.82	 0.20	 0.55	 96	 1.25	 5.45E-01	 3.50E-01	 -5.82E-01	 1.7E-01	 8.2E-03	 4.1E-01
1.82	 0.20	 0.70	 117	 1.45	 6.35E-05	 3.44E-01	 -1.17E+00	 4.3E-01	 3.6E-03	 4.8E-02
1.82	 0.20	 0.75	 120	 1.50	 8.25E-01	 3.84E-01	 6.35E-01	 6.1E-02	 1.4E-02	 4.4E-01
1.82	 0.20	 0.90	 121	 1.50	 8.02E-01	 3.77E-01	 4.50E-01	 7.5E-02	 1.4E-02	 4.8E-01
1.82	 0.20	 0.95	 138	 1.78	 3.90E-01	 3.64E-01	 -6.31E-01	 1.8E-01	 4.6E-03	 2.7E-01
1.82	 0.20	 1.00	 144	 2.32	 9.32E-02	 3.67E-01	 -8.36E-01	 3.8E-01	 2.3E-03	 1.1E-01

2.88	 0.20	 0.25	 24	 0.48	 4.48E-01	 3.89E-01	 -4.47E-01	 2.8E-01	 1.3E-02	 5.0E-01
2.88	 0.20	 0.30	 29	 0.45	 4.45E-01	 3.89E-01	 -4.50E-01	 2.7E-01	 1.3E-02	 4.8E-01
2.88	 0.20	 0.35	 48	 0.40	 4.61E-01	 3.85E-01	 -4.33E-01	 2.9E-01	 1.4E-02	 5.6E-01
2.88	 0.20	 0.40	 70	 0.78	 4.51E-01	 3.86E-01	 -4.16E-01	 3.2E-01	 1.5E-02	 6.2E-01
2.88	 0.20	 0.45	 72	 0.77	 4.42E-01	 3.86E-01	 -4.25E-01	 3.3E-01	 1.5E-02	 6.3E-01
2.88	 0.20	 0.55	 96	 1.53	 6.10E-01	 3.46E-01	 -5.16E-01	 1.1E-01	 7.8E-03	 3.2E-01
2.88	 0.20	 0.70	 120	 1.52	 6.49E-01	 3.30E-01	 -5.97E-01	 9.8E-02	 5.6E-03	 3.2E-01
2.88	 0.20	 0.90	 124	 1.49	 6.49E-01	 3.30E-01	 -5.97E-01	 9.8E-02	 5.5E-03	 3.2E-01
2.88	 0.20	 0.95	 144	 2.21	 5.31E-01	 3.45E-01	 -5.19E-01	 6.2E-02	 3.3E-03	 1.6E-01

5.23	 0.20	 0.25	 24	 0.16	 4.23E-01	 4.07E-01	 -3.25E-01	 6.0E-01	 2.6E-02	 1.0E+00
5.23	 0.20	 0.30	 34	 0.23	 6.07E-01	 4.17E-01	 1.25E-01	 3.2E-01	 3.5E-02	 1.1E+00
5.23	 0.20	 0.35	 48	 0.33	 7.57E-01	 4.38E-01	 8.33E-01	 1.2E-01	 3.2E-02	 7.4E-01
5.23	 0.20	 0.40	 70	 0.77	 8.07E-01	 4.60E-01	 1.29E+00	 7.6E-02	 3.3E-02	 6.5E-01
5.23	 0.20	 0.45	 72	 0.82	 8.15E-01	 4.64E-01	 1.38E+00	 7.0E-02	 3.3E-02	 6.4E-01
5.23	 0.20	 0.55	 96	 1.50	 4.54E-01	 3.75E-01	 -5.19E-01	 3.5E-01	 1.4E-02	 6.5E-01
5.23	 0.20	 0.70	 120	 1.85	 6.49E-01	 3.42E-01	 -4.99E-01	 1.0E-01	 6.8E-03	 3.2E-01
5.23	 0.20	 0.90	 125	 1.80	 6.59E-01	 3.41E-01	 -4.83E-01	 1.0E-01	 6.9E-03	 3.3E-01
5.23	 0.20	 0.95	 142	 2.19	 5.90E-01	 3.49E-01	 -4.45E-01	 7.7E-02	 5.2E-03	 2.3E-01
5.23	 0.20	 1.00	 144	 2.17	 5.88E-01	 3.50E-01	 -4.49E-01	 7.8E-02	 5.1E-03	 2.3E-01

9.21	 0.20	 0.25	 23	 0.34	 1.97E-01	 4.04E-01	 -4.77E-01	 1.3E+00	 2.5E-02	 9.1E-01
9.21	 0.20	 0.30	 31	 0.30	 2.03E-01	 4.01E-01	 -4.89E-01	 1.4E+00	 2.6E-02	 1.0E+00
9.21	 0.20	 0.35	 47	 0.63	 2.80E-01	 3.94E-01	 -4.10E-01	 1.0E+00	 2.8E-02	 1.2E+00
9.21	 0.20	 0.40	 67	 0.86	 2.88E-01	 3.96E-01	 -3.43E-01	 1.1E+00	 3.4E-02	 1.4E+00
9.21	 0.20	 0.45	 71	 0.93	 2.59E-01	 3.98E-01	 -3.42E-01	 1.1E+00	 3.1E-02	 1.2E+00
9.21	 0.20	 0.55	 95	 1.16	 3.20E-01	 3.77E-01	 -5.46E-01	 5.2E-01	 1.7E-02	 6.4E-01
9.21	 0.20	 0.70	 119	 1.37	 5.89E-01	 3.49E-01	 -4.95E-01	 1.6E-01	 1.1E-02	 4.4E-01
9.21	 0.20	 0.85	 120	 1.36	 5.89E-01	 3.49E-01	 -4.96E-01	 1.6E-01	 1.1E-02	 4.4E-01
9.21	 0.20	 0.90	 127	 1.49	 4.83E-01	 3.56E-01	 -4.55E-01	 1.7E-01	 9.0E-03	 3.7E-01
9.21	 0.20	 0.95	 140	 1.48	 5.29E-01	 3.54E-01	 -4.36E-01	 1.5E-01	 9.1E-03	 3.8E-01

