hermes data proton and deuteron
z < 0.6
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.51	 0.10	 0.45	 95	 5.98	 7.36E-01	 3.50E-01	 -4.72E-01	 1.1E-01	 8.3E-03	 4.0E-01
1.51	 0.10	 0.55	 115	 6.91	 6.46E-01	 3.62E-01	 -5.98E-01	 1.2E-01	 6.8E-03	 3.3E-01
1.51	 0.10	 0.60	 119	 6.84	 6.43E-01	 3.66E-01	 -5.59E-01	 1.4E-01	 7.9E-03	 3.9E-01
1.51	 0.10	 0.70	 130	 6.59	 7.14E-01	 3.65E-01	 -4.69E-01	 1.0E-01	 7.4E-03	 3.3E-01
1.51	 0.10	 0.75	 140	 7.00	 5.93E-01	 3.80E-01	 -6.15E-01	 1.3E-01	 6.3E-03	 3.0E-01
1.51	 0.10	 0.80	 143	 7.10	 5.87E-01	 3.86E-01	 -5.58E-01	 1.8E-01	 8.5E-03	 4.1E-01
1.51	 0.10	 0.95	 148	 7.12	 5.10E-01	 3.96E-01	 -4.90E-01	 1.3E-01	 6.0E-03	 2.6E-01
1.51	 0.10	 1.00	 163	 6.91	 4.50E-01	 4.04E-01	 -5.34E-01	 1.4E-01	 4.9E-03	 2.1E-01
1.51	 0.10	 1.05	 166	 7.19	 3.73E-01	 4.07E-01	 -5.94E-01	 1.9E-01	 5.0E-03	 2.3E-01
1.51	 0.10	 1.25	 167	 7.18	 3.72E-01	 4.07E-01	 -5.95E-01	 1.9E-01	 5.0E-03	 2.3E-01

1.82	 0.10	 0.15	 22	 1.02	 5.30E-01	 4.22E-01	 -4.00E-01	 2.3E-01	 1.3E-02	 4.3E-01
1.82	 0.10	 0.25	 46	 3.23	 5.66E-01	 3.91E-01	 -4.76E-01	 1.5E-01	 8.3E-03	 3.2E-01
1.82	 0.10	 0.35	 70	 3.80	 5.90E-01	 3.78E-01	 -4.86E-01	 1.3E-01	 7.6E-03	 3.2E-01
1.82	 0.10	 0.40	 76	 3.84	 6.00E-01	 3.77E-01	 -4.74E-01	 1.3E-01	 7.7E-03	 3.2E-01
1.82	 0.10	 0.45	 94	 3.40	 5.93E-01	 3.78E-01	 -4.63E-01	 1.2E-01	 7.6E-03	 3.1E-01
1.82	 0.10	 0.55	 118	 3.08	 6.28E-01	 3.71E-01	 -4.57E-01	 1.0E-01	 6.8E-03	 2.8E-01
1.82	 0.10	 0.70	 139	 3.24	 6.19E-01	 3.64E-01	 -4.75E-01	 2.0E-01	 1.1E-02	 5.6E-01
1.82	 0.10	 0.75	 142	 3.19	 6.48E-01	 3.67E-01	 -3.72E-01	 2.1E-01	 1.4E-02	 6.7E-01
1.82	 0.10	 0.90	 143	 3.20	 6.14E-01	 3.63E-01	 -4.95E-01	 1.9E-01	 9.9E-03	 5.2E-01
1.82	 0.10	 0.95	 160	 3.95	 4.05E-01	 3.74E-01	 -5.67E-01	 1.4E-01	 4.2E-03	 2.2E-01
1.82	 0.10	 1.00	 166	 4.18	 2.89E-01	 3.76E-01	 -6.81E-01	 2.2E-01	 3.7E-03	 2.2E-01

2.88	 0.10	 0.15	 23	 0.32	 4.50E-01	 4.40E-01	 -3.70E-01	 6.3E-01	 2.5E-02	 9.7E-01
2.88	 0.10	 0.25	 47	 2.00	 4.82E-01	 4.16E-01	 -3.81E-01	 2.9E-01	 1.3E-02	 5.2E-01
2.88	 0.10	 0.30	 52	 1.88	 4.70E-01	 4.14E-01	 -4.09E-01	 2.7E-01	 1.2E-02	 4.8E-01
2.88	 0.10	 0.35	 71	 1.95	 5.57E-01	 4.11E-01	 -2.47E-01	 2.7E-01	 1.7E-02	 6.5E-01
2.88	 0.10	 0.40	 93	 1.99	 6.23E-01	 4.17E-01	 -2.62E-02	 2.2E-01	 2.1E-02	 6.8E-01
2.88	 0.10	 0.45	 95	 1.98	 6.23E-01	 4.18E-01	 -2.00E-02	 2.2E-01	 2.2E-02	 7.0E-01
2.88	 0.10	 0.55	 119	 3.06	 5.73E-01	 3.83E-01	 -4.40E-01	 1.3E-01	 8.0E-03	 3.2E-01
2.88	 0.10	 0.70	 143	 3.79	 7.05E-01	 3.42E-01	 -4.95E-01	 7.1E-02	 4.9E-03	 2.5E-01
2.88	 0.10	 0.90	 147	 3.72	 7.09E-01	 3.41E-01	 -5.05E-01	 6.8E-02	 4.6E-03	 2.4E-01
2.88	 0.10	 0.95	 167	 4.98	 5.47E-01	 3.55E-01	 -4.77E-01	 5.2E-02	 3.0E-03	 1.3E-01

5.23	 0.10	 0.15	 20	 0.43	 6.66E-01	 4.73E-01	 1.61E-01	 3.8E-01	 3.5E-02	 1.1E+00
5.23	 0.10	 0.25	 44	 1.68	 7.88E-01	 4.74E-01	 7.71E-01	 1.0E-01	 2.1E-02	 5.2E-01
5.23	 0.10	 0.30	 54	 1.62	 8.42E-01	 4.79E-01	 1.06E+00	 7.4E-02	 2.0E-02	 4.7E-01
5.23	 0.10	 0.35	 68	 1.70	 8.69E-01	 4.94E-01	 1.43E+00	 5.0E-02	 1.9E-02	 4.0E-01
5.23	 0.10	 0.40	 90	 1.78	 8.83E-01	 5.05E-01	 1.65E+00	 4.2E-02	 1.9E-02	 3.8E-01
5.23	 0.10	 0.45	 92	 1.82	 8.83E-01	 5.07E-01	 1.68E+00	 4.1E-02	 1.9E-02	 3.7E-01
5.23	 0.10	 0.55	 116	 2.43	 8.63E-01	 4.85E-01	 1.39E+00	 4.8E-02	 1.9E-02	 3.9E-01
5.23	 0.10	 0.70	 140	 3.96	 8.06E-01	 3.94E-01	 3.89E-01	 7.6E-02	 1.2E-02	 4.2E-01
5.23	 0.10	 0.90	 145	 4.05	 8.64E-01	 3.97E-01	 7.14E-01	 5.3E-02	 1.1E-02	 3.7E-01
5.23	 0.10	 0.95	 162	 4.45	 7.62E-01	 3.93E-01	 4.46E-01	 5.0E-02	 9.1E-03	 2.9E-01
5.23	 0.10	 1.00	 164	 4.40	 7.60E-01	 3.92E-01	 4.33E-01	 5.0E-02	 9.0E-03	 2.9E-01

9.21	 0.10	 0.15	 16	 0.59	 3.89E-01	 4.58E-01	 -4.84E-01	 1.1E+00	 3.1E-02	 1.1E+00
9.21	 0.10	 0.20	 17	 0.63	 3.96E-01	 4.55E-01	 -5.11E-01	 9.9E-01	 2.9E-02	 1.1E+00
9.21	 0.10	 0.25	 40	 1.17	 2.21E-01	 4.39E-01	 -4.51E-01	 1.2E+00	 2.1E-02	 8.0E-01
9.21	 0.10	 0.30	 48	 1.11	 2.20E-01	 4.35E-01	 -4.52E-01	 1.4E+00	 2.3E-02	 9.4E-01
9.21	 0.10	 0.35	 64	 1.41	 2.62E-01	 4.32E-01	 -3.59E-01	 1.2E+00	 2.7E-02	 1.1E+00
9.21	 0.10	 0.40	 84	 1.46	 3.64E-01	 4.38E-01	 -1.74E-01	 8.5E-01	 3.4E-02	 1.2E+00
9.21	 0.10	 0.45	 88	 1.50	 3.11E-01	 4.38E-01	 -2.16E-01	 9.3E-01	 3.1E-02	 1.1E+00
9.21	 0.10	 0.55	 112	 1.63	 1.89E-01	 4.24E-01	 -4.36E-01	 1.4E+00	 2.1E-02	 8.9E-01
9.21	 0.10	 0.70	 136	 2.11	 5.50E-01	 3.79E-01	 -4.48E-01	 1.9E-01	 1.0E-02	 4.3E-01
9.21	 0.10	 0.85	 137	 2.10	 5.52E-01	 3.78E-01	 -4.52E-01	 1.9E-01	 1.0E-02	 4.3E-01
9.21	 0.10	 0.90	 144	 2.37	 4.40E-01	 3.82E-01	 -3.93E-01	 2.0E-01	 9.2E-03	 3.8E-01
9.21	 0.10	 0.95	 157	 2.29	 5.02E-01	 3.79E-01	 -3.22E-01	 1.9E-01	 1.0E-02	 4.3E-01

