hermes data proton and deuteron
z < 0.7
Q2	 Ptmin	 Ptmax	 Npt	 X2/dof	 p0	 p1	 p2	 e0	 e1	 e2
1.51	 0.10	 0.75	 164	 6.55	 6.45E-01	 4.02E-01	 -1.94E-01	 4.6E-02	 4.5E-03	 1.3E-01
1.51	 0.10	 0.80	 167	 6.60	 6.40E-01	 4.06E-01	 -1.61E-01	 4.9E-02	 4.7E-03	 1.4E-01
1.51	 0.10	 0.95	 176	 6.53	 5.77E-01	 4.15E-01	 -1.39E-01	 4.1E-02	 3.8E-03	 1.0E-01
1.51	 0.10	 1.00	 191	 6.38	 5.50E-01	 4.22E-01	 -1.67E-01	 4.3E-02	 3.5E-03	 9.8E-02
1.51	 0.10	 1.05	 194	 6.58	 5.35E-01	 4.26E-01	 -1.68E-01	 4.7E-02	 3.6E-03	 1.0E-01
1.51	 0.10	 1.25	 195	 6.58	 5.35E-01	 4.26E-01	 -1.68E-01	 4.7E-02	 3.6E-03	 1.0E-01

1.82	 0.10	 0.15	 26	 2.27	 5.04E-01	 4.49E-01	 -1.31E-01	 1.0E-01	 8.8E-03	 1.9E-01
1.82	 0.10	 0.25	 54	 6.26	 4.63E-01	 4.32E-01	 -1.23E-01	 6.0E-02	 5.5E-03	 1.1E-01
1.82	 0.10	 0.35	 82	 5.94	 5.03E-01	 4.16E-01	 -1.29E-01	 4.9E-02	 4.8E-03	 1.0E-01
1.82	 0.10	 0.40	 92	 5.69	 5.03E-01	 4.15E-01	 -1.26E-01	 4.7E-02	 4.7E-03	 1.0E-01
1.82	 0.10	 0.45	 110	 4.95	 5.02E-01	 4.14E-01	 -1.25E-01	 4.7E-02	 4.6E-03	 1.0E-01
1.82	 0.10	 0.55	 138	 4.52	 5.27E-01	 4.07E-01	 -1.38E-01	 4.3E-02	 4.4E-03	 9.6E-02
1.82	 0.10	 0.70	 163	 4.67	 6.14E-01	 3.89E-01	 -1.14E-01	 3.5E-02	 3.9E-03	 1.1E-01
1.82	 0.10	 0.75	 166	 4.60	 6.15E-01	 3.88E-01	 -1.23E-01	 3.4E-02	 3.7E-03	 1.0E-01
1.82	 0.10	 0.90	 167	 4.64	 6.19E-01	 3.85E-01	 -1.39E-01	 3.3E-02	 3.5E-03	 1.0E-01
1.82	 0.10	 0.95	 188	 4.61	 5.49E-01	 3.88E-01	 -1.56E-01	 3.5E-02	 3.0E-03	 9.7E-02
1.82	 0.10	 1.00	 194	 4.76	 5.35E-01	 3.91E-01	 -1.65E-01	 3.8E-02	 3.1E-03	 1.0E-01

2.88	 0.10	 0.15	 26	 1.14	 4.49E-01	 4.67E-01	 -8.86E-02	 1.3E-01	 1.0E-02	 2.2E-01
2.88	 0.10	 0.25	 54	 3.78	 3.93E-01	 4.52E-01	 -9.57E-02	 8.7E-02	 6.4E-03	 1.3E-01
2.88	 0.10	 0.30	 60	 3.59	 3.87E-01	 4.51E-01	 -1.04E-01	 8.6E-02	 6.2E-03	 1.3E-01
2.88	 0.10	 0.35	 82	 3.23	 4.24E-01	 4.42E-01	 -8.62E-02	 7.1E-02	 5.7E-03	 1.2E-01
2.88	 0.10	 0.40	 108	 2.88	 4.25E-01	 4.41E-01	 -7.21E-02	 7.1E-02	 5.7E-03	 1.2E-01
2.88	 0.10	 0.45	 110	 2.85	 4.25E-01	 4.41E-01	 -7.18E-02	 7.1E-02	 5.7E-03	 1.3E-01
2.88	 0.10	 0.55	 138	 3.93	 4.73E-01	 4.23E-01	 -1.21E-01	 5.4E-02	 5.3E-03	 1.1E-01
2.88	 0.10	 0.70	 166	 5.30	 6.69E-01	 3.62E-01	 -2.08E-01	 2.7E-02	 3.1E-03	 9.0E-02
2.88	 0.10	 0.90	 170	 5.26	 6.77E-01	 3.59E-01	 -2.17E-01	 2.7E-02	 2.9E-03	 8.9E-02
2.88	 0.10	 0.95	 194	 5.39	 5.88E-01	 3.64E-01	 -2.52E-01	 2.8E-02	 2.4E-03	 8.5E-02

5.23	 0.10	 0.15	 21	 0.94	 5.13E-01	 4.70E-01	 -9.67E-02	 2.4E-01	 1.5E-02	 4.3E-01
5.23	 0.10	 0.25	 49	 2.23	 4.76E-01	 4.57E-01	 -2.90E-02	 1.2E-01	 9.2E-03	 2.3E-01
5.23	 0.10	 0.30	 59	 2.13	 5.17E-01	 4.52E-01	 1.52E-02	 1.1E-01	 9.2E-03	 2.4E-01
5.23	 0.10	 0.35	 77	 2.20	 4.85E-01	 4.53E-01	 3.97E-02	 1.0E-01	 8.4E-03	 2.1E-01
5.23	 0.10	 0.40	 102	 2.29	 4.65E-01	 4.55E-01	 5.43E-02	 9.6E-02	 8.1E-03	 1.9E-01
5.23	 0.10	 0.45	 105	 2.30	 4.66E-01	 4.55E-01	 6.11E-02	 9.6E-02	 8.2E-03	 2.0E-01
5.23	 0.10	 0.55	 133	 2.96	 4.61E-01	 4.48E-01	 8.02E-03	 8.7E-02	 7.4E-03	 1.7E-01
5.23	 0.10	 0.70	 161	 4.55	 6.19E-01	 3.91E-01	 -1.03E-01	 4.7E-02	 4.6E-03	 1.4E-01
5.23	 0.10	 0.90	 166	 4.65	 6.46E-01	 3.85E-01	 -7.24E-02	 4.4E-02	 4.5E-03	 1.5E-01
5.23	 0.10	 0.95	 187	 4.72	 6.14E-01	 3.86E-01	 -4.43E-02	 4.0E-02	 4.2E-03	 1.4E-01
5.23	 0.10	 1.00	 189	 4.68	 6.13E-01	 3.85E-01	 -4.65E-02	 3.9E-02	 4.1E-03	 1.3E-01

9.21	 0.10	 0.15	 19	 0.59	 4.33E-01	 4.72E-01	 -2.56E-01	 5.0E-01	 2.4E-02	 6.3E-01
9.21	 0.10	 0.20	 21	 0.69	 4.05E-01	 4.72E-01	 -2.58E-01	 4.8E-01	 2.2E-02	 5.6E-01
9.21	 0.10	 0.25	 47	 1.09	 3.05E-01	 4.49E-01	 -2.73E-01	 4.9E-01	 1.6E-02	 4.9E-01
9.21	 0.10	 0.30	 57	 1.02	 3.22E-01	 4.46E-01	 -2.47E-01	 4.5E-01	 1.6E-02	 4.9E-01
9.21	 0.10	 0.35	 75	 1.30	 3.20E-01	 4.41E-01	 -1.96E-01	 4.1E-01	 1.5E-02	 4.9E-01
9.21	 0.10	 0.40	 96	 1.36	 3.40E-01	 4.42E-01	 -1.45E-01	 4.7E-01	 1.9E-02	 6.2E-01
9.21	 0.10	 0.45	 103	 1.41	 3.00E-01	 4.43E-01	 -1.58E-01	 5.0E-01	 1.8E-02	 5.7E-01
9.21	 0.10	 0.55	 131	 1.63	 2.98E-01	 4.35E-01	 -2.27E-01	 3.8E-01	 1.3E-02	 4.1E-01
9.21	 0.10	 0.70	 159	 2.07	 5.44E-01	 3.88E-01	 -2.90E-01	 1.2E-01	 8.2E-03	 2.7E-01
9.21	 0.10	 0.85	 160	 2.06	 5.46E-01	 3.87E-01	 -2.93E-01	 1.2E-01	 8.1E-03	 2.7E-01
9.21	 0.10	 0.90	 167	 2.26	 4.63E-01	 3.85E-01	 -3.10E-01	 1.5E-01	 8.0E-03	 3.1E-01
9.21	 0.10	 0.95	 183	 2.17	 5.12E-01	 3.81E-01	 -2.77E-01	 1.5E-01	 8.8E-03	 3.6E-01

